"問題番号","問題内容","選択肢ア","選択肢イ","選択肢ウ","選択肢エ"
"問11","画面表示用フレームバッファがココフフイトメモリ方式であるシステムの特微はどれか。","主記憶とは別に專用のフレームバッファをもつ。","主記憶の一部を表示領域として使用する。","シリアル接続した表示デバイスに，描画コマンドを用いて表示する。","表示リフレッシュが不要。"
"問12","SAN (Storage Area Network) におけるHumanHuman についてストレージの接続形態の説明として, 適切なものはどれか。","シリアルATAなどの接続方式によって内蔵ストレージとして1 対 1 に接続する。","ファイバチャネルなどによる専用ネットワークで接続する。","プロトコルは CIFS (Common Internet File System) を使用し, LAN で接続する。","プロトコルは NFS (Network File System) を使用し, LAN で接続する。"
"問13","システムの性能を向上させるための方法として，スケールアウトが適しているシステムはどれか。","一連の大きな処理を一括して実行しなければならないので, 並列処理が困難な処理が中心のシステム","参照系のトランザクションが多いので，複数のサーバで分散処理を行っているシステム","データを追加するトランザクションが多いので，データの整合性を取るためのオーバーヘッドを小さくしなければならないシステム","同一のマスターデータベースがシステム内に複数配備されているので，マスターを更新する際にはデータベース間で整合性を保持しなければならないシステム"
"問14","IaC (Infrastructure as Code) に関する記述として, 最も適切なものはどれか。","インフラストラクチャの自律的なシステム運用を実現するために，インシデントへの対応手順をコードに定めること","各種開発支援ツールを利用するために, ビルドの手順をコードに定めること","継続的インテグレーションを実現するために，アプリケーションの生成手順や試験の手順をコードに定めること","ソフトウェアによる自動実行を可能にするために, システムの構成や状態をコードに定めること"
"問15","アクティプースタンバイ構成の2台のサーバから成るシステムがある。各サーバの MTBF は 99 時間, MTTR は 10 時間, フェールオーバーに要する時間は 2 時間であるとき,このシステムの可用性はおよそ幾らか。ここで, 二重に障害は発生しないものとする。","0.82","0.89","0.91","0.98"
"問16","ページング方式の仮想記憶に，あるプログラムを実行したとき，1 回のページフォールトの平均処理時間は 30 ミリ秒であった。ページフォールト発生時の処理時間が次の条件であったとする。ページアウトを伴わないページインだけの処理の割合は幾らか。(ページフォールト発生時の処理時間) (1) ページアウトを伴わない場合，ページインの処理時間は 20 ミリ秒である。 (2) ページアウトを伴う場合, 置換えページの選択, ページアウト, ページインの合計処理時間は 60 ミリ秒である。","0.25","0.33","0.67","0.75"
"問17","プリエンプティブな優先度ベースのスケジューリングで実行する二つの同期タスク A 及び B がある。タスク B が同期内に処理を完了できるタスク A 及び B の最大実行時間及び同期の組合せはどれか。ここで，タスク A の方がタスク B より優先度が高く，かつ, タスク A と B の共有資源はなく, タスク切替え時間は考慮しないものとする。また, 時間及び同期の単位はミリ秒とする。","タスクA: 2, タスクB: 3, 同期: 4","タスクA: 3, タスクB: 4, 同期: 9","タスクA: 4, タスクB: 5, 同期: 15","なし"
"問18","あるコンピュータ上で, 当然コンピュータとは異なる命令形式のコンピュータで実行できる目的プログラムを生成する言語処理プログラムはどれか。","エミュレーター","クロスコンパイラ","最適化コンパイラ","プログラムジェネレーター"
"問19","Linux カーネルの説明として, 適切なものはどれか。","CUIによるコマンド入力のためのシェルであって, 文字での操作が可能である。","GUI を利用できるデスクトップ環境が組み込まれていて, マウスを使った直感的な操作が可能である。","Web ブラウザ, ワープロソフト, 表計算ソフトなどが含まれており, Linux カーネルだけで多くの業務が行える。","プロセス管理やメモリ管理などの, アプリケーションソフトウェアが動作するための基本機能を提供する。"
"問20","FPGAの説明として, 適切なものはどれか。","電気的に記憶内容の書き換えを行うことができる不揮発性メモリ","特定の分野及びアプリケーション用に限定した特定用途向け汎用集積回路","浮動小数点数の演算を高速に実行する演算ユニット","論理回路を基板上に実装した後で再プログラム可能な集積回路"
"問21","MOS トランジスタの説明として, 適切なものはどれか。","pn 接合における電子と正孔の再結合によって光を放出するという性質を利用した半導体素子","pn 接合部に光が当たると電流が発生するという性質を利用した半導体素子","金属と半導体との間に酸化物絶縁体を挟んだ構造をもつことが特微の半導体素子","逆方向電圧をある電圧以上印加すると, 電流だけが増加し電圧がほぼ一定に保たれるという特性をもつ半導体素子"
"問22","図の論理回路において, $\mathrm{S}=1, \mathrm{R}=1, \mathrm{X}=0, \mathrm{Y}=1$ のとき, $\mathrm{S}$ を一旦 0 にした後, 再度 1 に戻した。この操作を行った後のX, Y の値はどれか。","$X=0, Y=0$","$X=0, Y=1$","$X=1, Y=0$","$X=1, Y=1$"
"問23","真理値表に示す 3 入力多数決回路はどれか。","アンドゲート","オアゲート","XORゲート","多数決回路"
"問24","JIS X 9303-1:2006 (Unicode 3.2版) の記述として, 適切なものはどれか。","Unicodeは、文字コードの国際標準である。","Unicodeは、固定長の16ビット文字コードである。","Unicodeは、ASCIIコードをそのまま含む。","Unicodeは、すべての文字を一意に表現できる。"
"問25","ソフトウェアライフサイクルの中で、コードの品質を保証するための活動として適切なものはどれか。","ユニットテスト","結合テスト","システムテスト","ユーザー受け入れテスト"
"問26","「売上」表への次の検索処理のうち，B-ツリーインデックスよりもハッシングインデックスを設定した方が適切なものはどれか。ここで，インデックスを設定する列を< >内に示す。売上 (伝票番号, 売上年月日, 商品名, 利用者 ID, 店舗, 売上金額)","売上金額 1 万円以上の売上を検索する。<売上金額>","売上年月日が今月を検索する。<売上年月日>","商品名が 'DB' で始まる売上を検索する。<商品名>","利用者IDが '1001' の売上を検索する。<利用者ID>"
"問27","関係モデルにおける外部キーの説明として, 適切なものはどれか。","ある関係の候補キーを参照する属性, または属性の組","主キー以外で, タプルを一意に識別できる属性, または属性の組","タプルを一意に識別できる属性, または属性の組の集合のうち極小のもの","タプルを一意に識別できる属性, または属性の組を含む集合"
"問28","更新可能なビューを作成する SQL 文はどれか。ここで, SQL 文中に現れる基底表は全て更新可能とする。","CREATE VIEW 高価商品(商品番号, 商品名, 商品単価) AS SELECT 商品番号, 商品名, 商品単価 FROM 商品 WHERE 商品単価 > 1000","CREATE VIEW 受注商品(商品番号) AS SELECT DISTINCT 商品番号 FROM 受注","CREATE VIEW 商品受注(商品番号, 受注数量) AS SELECT 商品番号, SUM(受注数量) FROM 受注 GROUP BY 商品番号","CREATE VIEW 商品平均受注数量(平均受注数量) AS SELECT AVG(受注数量) FROM 受注"
"問29","「製品」表と「在庫」表に対し, 次のSQL 文を実行した結果として得られる表の行数は幾つか。SELECT DISTINCT 製品番号 FROM 製品 WHERE NOT EXISTS (SELECT 製品番号 FROM 在庫 WHERE 在庫数 > 30 AND 製品.製品番号 = 在庫.製品番号)","1","2","3","4"
"問30","DBMS をシステム障害発生後に再起動するとき，ロールフォワードすべきトランザクションとロールバックすべきトランザクションの組合せとして, 適切なものはどれか。ここで，トランザクションの中で実行される処理内容は次のとおりとする。","詳細な情報が不足しているため、具体的な選択肢を提供できません。"
"問31","トランザクション管理におけるACIDプロパティのうち、整合性（Consistency）についての説明として適切なものはどれか。","トランザクションが成功すると、データベースは常に一貫した状態を保つ。","トランザクションが一度にすべて実行されるか、まったく実行されない。","複数のトランザクションが同時に実行されても、結果は正しい。","トランザクションの変更は永続的に保存される。"
"問32","プライベートIPアドレスを割り当てられた PC が NAPT (IP マスカレード) 機能をもつルータを経由して，インターネット上の Web サーバにアクセスしている。Web サーバから PC への応答パケットに含まれるヘッダー情報のうち，このルータで書き換えられるフィールドの組合せとして, 適切なものはどれか。ここで, 表中の○はフィールドの情報が書き換えられることを表す。","発先 IP アドレス○, 送信元 IP アドレス○","発先 IP アドレス○, 発先ポート番号○","送信元 IP アドレス○, 送信元ポート番号○","発先ポート番号○, 送信元ポート番号○"
"問33","TCP/IP 環境において, ping によってホストの接続確認をすることができるプロトコルはどれか。","CHAP","ICMP","SMTP","SNMP"
"問34","サブネットマスクが $255.255.252.0$ のとき, IP アドレス $172.30.123.45$ のホストが属するサブネットワークのアドレスはどれか。","$172.30.3.0$","$172.30.120.0$","$172.30.123.0$","$172.30.252.0$"
"問35","IPv4 ネットワークにおけるマルチキャストの使用例に関する記述として, 適切なものはどれか。","LAN に初めて接続する PC が, DHCP プロトコルを使用して, IP アドレスを取得する際に使用する。","ネットワーク機器が, ARP プロトコルを使用して, 発先 IP アドレスから MAC アドレスを得るためのリクエストを送信する際に使用する。","メーリングリストの利用者が，SMTP プロトコルを使用して，メンバー全員に対し, 同一内容の電子メールを一括送信する際に使用する。","ルータがRIP-2 プロトコルを使用して, 隣接するルータのグループに, 経路の更新情報を送信する際に使用する。"
"問36","パスワードクラック手法の一種である, ブルートフォース攻撃に該当するものはどれか。","何らかの方法で事前に利用者 ID と平文のパスワードのリストを入手しておき,複数のシステム間で使い回されている利用者 ID とパスワードの組みを試して, ログインを試行する。","パスワードに成り得る文字列の全てを用いて, 総当たりでログインを試行する。","平文のパスワードとハッシュ値をチェーンによって管理するテーブルを準備しておき，それを用いて，不正に入手したハッシュ値からパスワードを解読する。","利用者の誕生日, 電話番号などの個人情報を巧みに聞き出して, パスワードを類推する。"
"問37","楕円曲線暗号の特徴はどれか。","RSA 暗号と比べて, 短い鍵長で同レベルの安全性が実現できる。","共通鍵暗号方式であり，暗号化や復号の処理を高速に行うことができる。","総当たりによる解読が不可能なことが，数学的に証明されている。","楕円曲線暗号は全ての暗号化アルゴリズムの中で最も高速である。"
"問38","自社の内部メールサーバで，接続元 IP アドレス，電子メールの送信者のメールアドレスのドメイン名, 及び電子メールの受信者のメールアドレスのドメインをから成るログを取得するとき, 外部ネットワークからの第三者中継と判断できるログはどれか。","AAA.168.1.5, a.b.c, a.b.d","AAA.168.1.10, a.b.c, a.b.c","BBB.45.67.89, a.b.d, a.b.e","BBB.45.67.90, a.b.d, a.b.c"
"問39","JPCERT コーディネーションセンター “CSIRT ガイド (2021 年 11 月 30 日)”では, CSIRT を機能とサービス対象によって六つに分類しており，その一つにコーディネーションセンターがある。コーディネーションセンターの機能とサービス対象の組み合わせとして, 適切なものはどれか。","インシデント対応の中で, CSIRT 間の情報連携, 調整を行う。, 他の CSIRT","インシデントの傾向分析やマルウェアの解析, 攻撃のSEDの分析を行い, 必要に応じて注意喚起する。, 関係組織, 国又は地域","自社製品の脆弱性に対応し, パッチ作成や注意喚起を行う。, 自社製品の利用者","組織内 CSIRT の機能の一部又は全部をサービスプロバイダとして, 有償で請け負う。, 顧客"
"問40","JIS Q 27000:2019 (情報セキュリティマネジメントシステムー用語) において,認可されていない個人, エンティティ又はプロセスに対して, 情報を使用させず, また, 開示しない特性として定義されているものはどれか。","機密性","真正性","認証","否認防止"
"問41","暗号機能を実装した IoT 機器における攻撃のうち, サイドチャネル攻撃に該当するものはどれか。","暗号化関数を線形近似する式を導き，その線形近似式から秘密情報の取得を試みる。","機器が発する電磁波を測定することによって秘密情報の取得を試みる。","二つの平文の差とそれぞれの暗号文の差の関係から, 秘密情報の取得を試みる。","理論的にあり得る復号鍵の全てを機器に入力して秘密情報の取得を試みる。"
"問42","セキュアブートの説明はどれか。","BIOSにパスワードを設定し，PC 起動時にBIOSのパスワード入力を要求することによって, OS の不正な起動を防ぐ技術","HDD 又は SSDにパスワードを設定し，PC 起動時にHDD 又はSSD のパスワード入力を要求することによって, OS の不正な起動を防ぐ技術","PC の起動時に OS のプログラムやドライバのデジタル署名を検証し, デジタル署名が有効なものだけを実行することによって, OS 起動前のマルウェアの実行を防ぐ技術","マルウェア対策ソフトウェアを利用して，マルウェアの侵入を防ぐ技術"
"問43","PC のストレージ上の重要なデータを保護する方法のうち, ランダムウェア感染による被害の低減に効果があるものはどれか。","WORM (Write Once Read Many) 機能を有するストレージを導入して，そこに重要なデータをバックアップする。","ストレージを RAID5 構成にして，1 台のディスク故障時にも重要なデータを利用可能にする。","内蔵ストレージを増設して，重要なデータを常時レプリケーションする。","ネットワーク上のストレージの共有フォルダをネットワークドライブに割り当てて，そこに重要なデータをバックアップする。"
"問44","DKIM (DomainKeys Identified Mail) に関する記述のうち, 適切なものはどれか。","送信側のメールサーバで電子メールにデジタル署名を付与し，受信側のメールサーバでそのデジタル署名を検証して送信元ドメインの認証を行う。","送信者が電子メールを送信するとき，送信側のメールサーバは，送信者が正規の利用者かどうかの認証を利用者 IDとパスワードによって行う。","送信元ドメイン認証に失敗した際の電子メールの処理方法を記載したポリシーを DNS サーバに登録し，電子メールの認証結果を監視する。","電子メールの送信元ドメインでメール送信に使うメールサーバの IP アドレスを DNS サーバに登録しておき，受信側で送信元ドメインの DNS サーバに登録されている IP アドレスと電子メールの送信元メールサーバの IP アドレスとを照合する。"
"問45","DNSSEC についての記述のうち, 適切なものはどれか。","DNS サーバへの問合せ時の送信元ポートをランダムに選択することによって，DNS 問合せへの不正な応答を防止する。","DNS の再帰的な問合せの送信元として許可するクライアントを制限することによって, DNS を利用したDoS 攻撃を防止する。","共通鍵暗号方式によるメッセージ認証を用いることによって, 正当な DNS サーバからの応答であることをクライアントが検証できる。","公開鍵暗号方式によるデジタル署名を用いることによって, 正当な DNS サーバからの応答であることをクライアントが検証できる。"
"問46","問題を引き起こす可能性があるデータを大量に入力し，そのときの応答や挙動を監視することによって, ソフトウェアの脆弱性を検出するテスト手法はどれか。","限界値分析","実験デザイン法","ファジング","ロードテスト"
"問47","アプリケーションソフトウェアの開発環境上で, 用意された部品やテンプレートを GUI による操作で組み合わせたり, 必要に応じて一部の処理のソースコードを記述したりして, ソフトウェアを開発する手法はどれか。","継続的インテグレーション","ノーコード開発","プロトタイピング","ローコード開発"
"問48","問題は発生していないが，プログラムの仕様書と現状のソースコードとの不整合を解消するために，リバースエンジニアリングの手法を使って仕様書を作成し直す。これはソフトウェア保守のどの分類に該当するか。","完全化保守","是正保守","適応保守","予防保守"
"問49","アジャイルソフトウェア開発宣言では, “あることがらに価値があることを認めながらも別のことがらにより価値をおいている。” “別のこと”に該当するものの組み合わせはどれか。","個人と対話, 動くソフトウェア, 顧客との協調, 変化への対応","個人と対話, 包括的なドキュメント, 顧客との協調, 計画に従うこと","プロセスやツール, 動くソフトウェア, 顧客との協調, 変化への対応","プロセスやツール, 包括的なドキュメント, 顧客との協調, 計画に従うこと"
"問50","組み込みシステムのソフトウェア開発に使われるIDE の説明として，適切なものはどれか。","エディター, コンパイラ,リンカ, デバッグツールなどが一体となったツール","専用のハードウェアインターフェースで CPU の情報を取得する装置","ターゲット CPUを搭載した評価ボードなどの実行環境","タスクスケジューリングの仕組みなどを提供するソフトウェア"
"問51","PMBOK ガイド 第 7 版によれば,プロジェクト・スコープ記述書に記述する項目はどれか。","WBS","コスト見積額","ステークホルダー分類","プロジェクトの除外事項"
"問52","システム開発のプロジェクトにおいて, EVM を活用したパフォーマンス管理をしている。開発途中のある時点で EV-PV の値が負であるとき, どのような状況を示しているか。","スケジュール効率が悪い。","プロジェクトの完了が予定より早い。","プロジェクトの進捗が予定より遅れている。","プロジェクトが予算内に収まっている。"
"問53","プロジェクトのスケジュールを短縮したい。図1の計画では，作業 E を作業 E1，E2，E3 に分けて，図2 のように計画を変更すると，スケジュールは全体で何日短縮できるか。","1日","2日","3日","4日"
"問54","プロジェクトマネジメントにおいて, コンティンジェンシープランを含むリスク管理の一環として、どの活動を行うか。","リスクの管理","リスクの特定","リスクの評価","リスクへの対応"
"問55","サービスマネジメントシステム (SMS) における是正行動の説明はどれか。","検出された不適合又はほかの望ましくない状況の原因を除去する, または再発の起こりやすさを低減するための処理","構成品目の変更に伴って, 構成情報を更新する処理","パフォーマンスを向上するために繰り返し行われる活動であって, SMS 及びサービスの適切性, 妥当性及び有効性を継続的に改善するための処理","問題を “記録・分類” し, “優先度付け” し, “必要ならばエスカレーション” し, “可能ならば解決する” 一連の処理"
"問56","Y 社は, 受注管理システムを運用し, 顧客に受注管理サービスを提供している。日数が 30 日, 月初日の回数が 4 回である条件のもとで, サービス提供条件を達成するための許容されるサービスの停止時間は最大何時間か。ここで, サービスの停止時間は小数第 1 位を切り捨てるものとする。[サービス提供条件]・サービスは, 計画停止時間を除いて, 毎日 0 時から 24 時まで提供する。・計画停止は, 毎月月初日の 0 時から 6 時まで実施する。・サービスの可用性は 99% 以上とする。","0","6","7","13"
"問57","フルバックアップ方式と差分バックアップ方式を用いた運用に関する記述のうち，適切なものはどれか。","障害からの復旧時に差分バックアップを複数回適用する必要がある。","フルバックアップは差分バックアップよりも多くの時間と容量を必要とする。","差分バックアップは増分バックアップと同じである。","フルバックアップと差分バックアップは同時に行う必要がある。"
"問58","データベースのリレーショナルモデルで，正規化を行う理由として適切なものはどれか。","データの整合性を保証するため","データの冗長性を減らすため","クエリのパフォーマンスを向上させるため","データの物理的な格納効率を高めるため"
"問59","販売管理システムにおいて, 起票された受注伝票の入力が正確かつ重複しないように実施されていることを確かめる監査手続として，適切なものはどれか。","受注データから値引き取引データなどの例外取引データを抽出し, 承認の記録を確認する。","受注伝票の入力時に論理チェック及びフォーマットチェックが行われているか，テストデータ法で確認する。","販売管理システムから出力したプルーフリストと受注伝票との照合が行われているか, プルーフリストと受注伝票上の照合印を確認する。","並行シミュレーション法を用いて, 受注伝票を処理するプログラムの論理の正確性を確認する。"
"問60","金融庁「財務報告に係る内部統制の評価及び監査に関する実施基準（令和元年）」における“ITへの対応”に関する記述のうち, 適切なものはどれか。","IT 環境とは, 企業内部に限られた範囲での IT の利用状況である。","IT の統制は, IT に係る全般統制及び IT に係る業務処理統制から成る。","IT の利用によって統制活動を自動化している場合, 当該統制活動は有効であると評価される。","IT を利用せず手作業だけで内部統制を運用している場合, 直ちに内部統制の不備となる。"
"問61","バックキャスティングの説明として, 適切なものはどれか。","システム開発において, 先にプロジェクト要員を確定し, リソースの範囲内で優先すべき機能から順次提供する開発手法","前提として認識すべき制約を受け入れた上で未来のありたい姿を描き, 予想される課題や可能性を洗い出し解決策を検討することによって, ありたい姿に近づける思考方法","組織において, 下位から上位への発言を受け付けて経営の意思決定に反映するマネジメント手法","投資計画の有効性を検証する際に，過去のデータを用いてどの程度の利益が期待できるかをシミュレーションする手法"
"問62","A 社は, ソリューションプロバイダから, 顧客に対するワントゥワンマーケティングを実現する包括的なソリューションの提案を受けた。この提案に含まれるソリューションとして, 最も適切なものはどれか。","CRMソリューション","ERPソリューション","SCMソリューション","BIソリューション"
"問63","SOAを説明したものはどれか。","ビジネス改善において既存の組織やビジネスルールを抜本的に見直し, 業務フロー,管理機構及び情報システムを再構築する手法のこと","ビジネスプロセスの構成要素とそれを支える「基盤」を, ソフトウェア部品であるサービスとして提供するシステムアーキテクチャのこと"
"問64","投資効果の評価方法において, キャッシュフローベースで初年度の投資によるキャッシュアウトを何年後に回収できるかという指標はどれか。","IRR (Internal Rate of Return)","NPV (Net Present Value)","PBP (Pay Back Period)","ROI (Return On Investment)"
"問65","システム開発の成果物が利害関係者の要件（要求事項）を満たしているという客観的な証拠を得るための検証手法として, JIS X 0166:2021（システム及びソフトウェア技術ーライフサイクルプロセスー要求エンジニアリング）では, インスペクション,分析又はシミュレーション, デモンストレーション, テストを挙げている。これらのうち, 成果物となる文書について要件（要求事項）への遵守度合いを検査するものはどれか。","インスペクション","分析又はシミュレーション","デモンストレーション","テスト"
"問66","半導体メーカーが行っているファウンドリーサービスの説明として, 適切なものはどれか。","商号や商標の使用権とともに，一定地域内での商品の独立販売権を与える。","自社で半導体製品の開発, 設計から製造までを一貫して行い, それを自社ブランドで販売する。","製造設備をもたず, 半導体製品の開発, 設計及び開発を自社で行う。","他社からの製造委託を受けて, 半導体製品の製造を行う。"
"問67","H. I. アンソフが提唱した成長マトリクスを説明したものはどれか。","新製品か既存製品かという製品軸と新市場か既存市場かという市場軸の両軸で捉え, 事業成長戦略を考える。","コストで優位に立つかコスト以外で差別化するか, ターゲットを広くするか集中するかに上って戦略を考える。","市場成長率が高いか低いか, 相対的市場シェアが大きいか小さいかによって事業を捉え, 資源配分の戦略を考える。","自社の内部環境の強みと弱み, 取り巻く外部環境の機会と脅威, 取り組み方針を整理して戦略を考える。"
"問68","顧客から得る同意の範囲を段階的に広げなが, プロモーションを行うことが特徴的なマーケティング手法はどれか。","アフィリエイトマーケティング","差別型マーケティング","パーミッションマーケティング","バイラルマーケティング"
"問69","市場を消費者特性でセグメント化する際に，基準となる変数を，地理的変数, 人口統計変数, 心理変数, 行動変数に分類する。地理的変数に該当するものはどれか。","社交性などの性格","職業","人口密度","製品の使用頻度"
"問70","オープンイノベーションの説明として，適切なものはどれか。","外部の企業に製品開発の一部を任せることで，短期間で市場へ製品を投入する。","顧客に提供する製品やサービスを自社で開発することで，新たな価値を創出する。","自社と外部組織の技術やアイディアなどを組み合わせることで創出した価値を，さらに外部組織へ提供する。","自社の業務の工程を見直すことで，生産性向上とコスト削減を図る。"
"問71","CPS（サイバーフィジカルシステム）を活用している事例はどれか。","仮想化された標準的なシステム資源を用意しておき，業務内容に合わせてシステムの規模や構成をソフトウェアによって設定する。","機器を模倣するのではなく実物を用い，その機器に組み込まれたセンサーで使用状況を監視し，リアルタイムでフィードバックを行う。"
"問72","個人や団体が, インターネットを介して提示された単発の仕事を受託する働き方や, それによって形成される経済形態を表すものはどれか。","APIエコノミー","ギグエコノミー","シャリングエコノミー","トークンエコノミー"
"問73","スマートファクトリーで使用される AI を用いたマニュファクチャリングの目的として，適切なものはどれか。","作業者が装着した VR ゴーグルに作業プロセスを表示することによって，作業効率を向上させる。","従来の人間の目視検査を自動化し，検査効率を向上させる。","需要予測を目的として, クラウドに蓄積した入出荷データを用いて機械学習を行い, 生産数の最適化を行う。","設計変更内容を, AI を用いて即座に伝達し, 製造現場に正確に伝達する。"
"問74","BCM (Business Continuity Management) において考慮すべきレジリエンスの説明はどれか。","競争力の源泉となる, 他社に真似のできない自社固有の強み","想定される全てのリスクを回避して事業継続を行う方針","大規模災害などの発生時に事業の継続を可能とするために事前に策定するアクション","事業継続計画を定期的に見直し更新することで、災害や事故に対する耐性を強化する。"
"問75","リーダーシップ論のうち, F. E. フィードラーが提唱するコンティンジェンシー理論の特徴はどれか。","優れたリーダーシップを発揮する, リーダー個人がもつ性格, 知性, 外観などの個人的資質の分析に焦点を当てている。","リーダーシップのスタイルについて, 目標達成能力と集団維持能力の二つの次元に焦点を当てている。","リーダーシップの有効性は, 部下の成熟（自律性）の度合いという状況要因に依存するとしている。","リーダーシップの有効性は, リーダーがもつパーソナリティと, リーダーがどれだけ統制力や影響力を行使できるかという状況要因に依存するとしている。"
"問76","発生した故障について, 発生要因ごとの件数の記録を基に, 故障発生件数で上位を占める主な要因を明確に表現するのに適している図法はどれか。","特性要因図","パレート図","マトリックス図","連関図"
"問77","取得原価 30 万円の PCを 2 年間使用した後, 処分し, 処分費用 2 万円を現金で支払った。このときの固定資産の除却費は処分費用も含めて何万円か。ここで，耐用年数は 4 年, 減価償却方法は定額法, 定額法の償却率は 0.250, 残存価格は 0 円とする。","9.5","13.0","15.0","17.0"
"問78","プログラムの著作物について, 著作権法上, 適法である行為はどれか。","海賊版を複製したプログラムと事前に知りながら入手し, 業務で使用した。","業務処理用に購入したプログラムを複製し, 社内教育用として各部門に配布した。","業務著作のプログラムを，作成した担当者が独断で複製し, 他社に貸与した。","処理速度を向上させるために，購入したプログラムを改変した。"
"問79","匿名加工情報取扱事業者が, 適正な匿名加工を行った匿名加工情報を第三者提供する際の義務として, 個人情報保護法に規定されているものはどれか。","第三者に提供される匿名加工情報に含まれる個人に関する情報の項目及び提供方法を公表しなければならない。","第三者へ提供した場合は, 速やかに個人情報保護委員会へ提供した内容を報告しなければならない。","第三者への提供の手段は，ハードコピーなどの物理的な媒体を用いることに限られる。","匿名加工情報であっても, 第三者提供を行う際には事前に本人の同意が必要である。"
"問80","企業と労働者の関係を表している図で，全社 A と労働者 C の関係に関する記述のうち, 適切なものはどれか。","「契約」が請負契約で, 企業 A が受託者, 企業 B が委託者であるとき, 企業 B と労働者 C との間には, 指揮命令関係が生じる。","「契約」が出向にかかわる契約で, 企業 A が企業 B に労働者 C を出向させたとき,企業 B と労働者 C との間には指揮命令関係が生じる。","「契約」が労働者派遣契約で, 企業 A が派遣元, 企業 B が派遣先であるとき, 企業 B と労働者 C の間にも, 雇用関係が生じる。","「契約」が労働者派遣契約で, 企業 A が派遣元, 企業 B が派遣先であるとき, 企業 B に労働者 C が出向しているといえる。"
